"Plot Title: G9903341_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","X Accel, g (LGR S/N: 9903341, SEN S/N: 9903341)","Y Accel, g (LGR S/N: 9903341, SEN S/N: 9903341)","Z Accel, g (LGR S/N: 9903341, SEN S/N: 9903341)","End Of File (LGR S/N: 9903341)"
197,04/25/15 05:16:20 AM,0.050,-0.175,1.000,
198,04/25/15 05:16:25 AM,-0.150,-0.050,0.900,
199,04/25/15 05:16:30 AM,-0.025,-0.150,1.050,
200,04/25/15 05:16:35 AM,-0.150,-0.200,1.000,
201,04/25/15 05:16:40 AM,-0.100,-0.050,1.100,
202,04/25/15 05:16:45 AM,0.125,0.025,1.025,
203,04/25/15 05:16:50 AM,0.050,-0.150,1.025,
204,04/25/15 05:16:55 AM,0.150,-0.025,1.000,
205,04/25/15 05:17:00 AM,-0.325,-0.175,0.925,
206,04/25/15 05:17:05 AM,-0.075,-0.125,1.025,
207,04/25/15 05:17:10 AM,0.175,-0.175,0.950,
208,04/25/15 05:17:15 AM,-0.075,-0.200,0.975,
209,04/25/15 05:17:20 AM,0.050,-0.125,1.000,
210,04/25/15 05:17:25 AM,0.150,-0.100,1.075,
211,04/25/15 05:17:30 AM,-0.200,-0.175,0.950,
212,04/25/15 05:17:35 AM,-0.075,-0.125,1.025,
213,04/25/15 05:17:40 AM,0.000,-0.150,0.950,
214,04/25/15 05:17:45 AM,-0.075,-0.075,1.000,
215,04/25/15 05:17:50 AM,0.125,-0.125,1.100,
216,04/25/15 05:17:55 AM,0.000,-0.175,0.975,
217,04/25/15 05:18:00 AM,-0.025,-0.150,1.075,
218,04/25/15 05:18:05 AM,-0.150,-0.175,0.925,
219,04/25/15 05:18:10 AM,0.025,0.175,1.075,
220,04/25/15 05:18:15 AM,-0.175,-0.150,0.975,
221,04/25/15 05:18:20 AM,0.200,-0.150,1.100,
222,04/25/15 05:18:25 AM,-0.075,-0.175,1.000,
223,04/25/15 05:18:30 AM,-0.025,-0.100,1.050,
224,04/25/15 05:18:35 AM,-0.050,0.000,1.000,
225,04/25/15 05:18:40 AM,0.025,-0.175,0.925,
226,04/25/15 05:18:45 AM,-0.175,-0.050,0.975,
227,04/25/15 05:18:50 AM,0.025,-0.100,1.025,
228,04/25/15 05:18:55 AM,-0.100,-0.300,1.075,
229,04/25/15 05:19:00 AM,0.125,-0.150,1.075,
230,04/25/15 05:19:05 AM,0.025,-0.125,1.025,
231,04/25/15 05:19:10 AM,0.025,-0.125,1.025,
232,04/25/15 05:19:15 AM,-0.100,-0.175,1.050,
233,04/25/15 05:19:20 AM,0.025,-0.125,1.000,
234,04/25/15 05:19:25 AM,-0.025,-0.125,0.975,
235,04/25/15 05:19:30 AM,0.025,-0.100,1.000,
236,04/25/15 05:19:35 AM,-0.150,-0.175,0.975,
237,04/25/15 05:19:40 AM,0.125,-0.225,1.050,
238,04/25/15 05:19:45 AM,-0.150,-0.150,0.975,
239,04/25/15 05:19:50 AM,-0.075,0.075,1.025,
240,04/25/15 05:19:55 AM,-0.225,-0.175,1.000,
241,04/25/15 05:20:00 AM,0.050,-0.150,1.025,
242,04/25/15 05:20:05 AM,0.050,-0.100,1.050,
243,04/25/15 05:20:10 AM,-0.175,-0.225,1.000,
244,04/25/15 05:20:15 AM,0.025,-0.200,0.975,
245,04/25/15 05:20:20 AM,0.025,-0.200,1.000,
246,04/25/15 05:20:25 AM,-0.150,-0.100,0.925,
247,04/25/15 05:20:30 AM,0.025,-0.200,1.025,
248,04/25/15 05:20:35 AM,0.025,-0.125,1.025,
