"Plot Title: G9903339_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","X Accel, g (LGR S/N: 9903339, SEN S/N: 9903339)","Y Accel, g (LGR S/N: 9903339, SEN S/N: 9903339)","Z Accel, g (LGR S/N: 9903339, SEN S/N: 9903339)","End Of File (LGR S/N: 9903339)"
263,04/25/15 05:21:50 AM,0.950,0.025,-0.275,
264,04/25/15 05:21:55 AM,0.975,0.025,-0.225,
265,04/25/15 05:22:00 AM,0.975,-0.025,-0.225,
266,04/25/15 05:22:05 AM,0.975,-0.025,-0.275,
267,04/25/15 05:22:10 AM,0.975,0.025,-0.075,
268,04/25/15 05:22:15 AM,0.950,0.075,-0.350,
269,04/25/15 05:22:20 AM,0.975,-0.075,0.050,
270,04/25/15 05:22:25 AM,0.975,-0.025,-0.075,
271,04/25/15 05:22:30 AM,0.975,-0.075,-0.175,
272,04/25/15 05:22:35 AM,0.975,-0.050,-0.175,
273,04/25/15 05:22:40 AM,0.975,0.025,-0.225,
274,04/25/15 05:22:45 AM,0.975,-0.075,-0.125,
275,04/25/15 05:22:50 AM,0.975,-0.025,-0.225,
276,04/25/15 05:22:55 AM,0.950,0.025,-0.275,
277,04/25/15 05:23:00 AM,0.975,0.050,-0.150,
278,04/25/15 05:23:05 AM,0.975,-0.075,-0.100,
279,04/25/15 05:23:10 AM,0.950,0.125,-0.250,
280,04/25/15 05:23:15 AM,0.975,0.025,0.100,
281,04/25/15 05:23:20 AM,0.950,0.075,-0.300,
282,04/25/15 05:23:25 AM,0.975,0.025,0.000,
283,04/25/15 05:23:30 AM,0.975,-0.100,-0.150,
284,04/25/15 05:23:35 AM,0.975,0.075,-0.150,
285,04/25/15 05:23:40 AM,0.975,-0.075,-0.025,
286,04/25/15 05:23:45 AM,0.975,-0.050,-0.200,
287,04/25/15 05:23:50 AM,0.975,-0.075,-0.100,
288,04/25/15 05:23:55 AM,0.975,-0.075,-0.175,
289,04/25/15 05:24:00 AM,0.975,-0.050,-0.200,
290,04/25/15 05:24:05 AM,0.975,0.025,-0.175,
291,04/25/15 05:24:10 AM,0.975,-0.075,-0.100,
292,04/25/15 05:24:15 AM,0.975,-0.100,-0.125,
293,04/25/15 05:24:20 AM,0.975,0.075,-0.125,
294,04/25/15 05:24:25 AM,0.975,-0.075,0.000,
295,04/25/15 05:24:30 AM,0.925,0.225,-0.325,
296,04/25/15 05:24:35 AM,0.975,0.025,-0.075,
297,04/25/15 05:24:40 AM,0.950,0.075,-0.325,
298,04/25/15 05:24:45 AM,0.975,0.075,-0.175,
299,04/25/15 05:24:50 AM,0.975,-0.050,-0.075,
300,04/25/15 05:24:55 AM,0.975,0.025,-0.225,
301,04/25/15 05:25:00 AM,0.975,-0.075,-0.025,
302,04/25/15 05:25:05 AM,0.950,0.025,-0.275,
303,04/25/15 05:25:10 AM,0.975,-0.125,-0.175,
304,04/25/15 05:25:15 AM,0.975,0.075,-0.225,
305,04/25/15 05:25:20 AM,0.975,-0.075,-0.175,
306,04/25/15 05:25:25 AM,0.975,0.025,-0.275,
307,04/25/15 05:25:30 AM,0.975,-0.025,-0.200,
308,04/25/15 05:25:35 AM,0.975,0.125,-0.275,
309,04/25/15 05:25:40 AM,0.975,0.025,-0.075,
310,04/25/15 05:25:45 AM,0.975,-0.050,-0.125,
311,04/25/15 05:25:50 AM,0.975,0.025,-0.075,
312,04/25/15 05:25:55 AM,0.975,0.000,-0.225,
313,04/25/15 05:26:00 AM,0.975,0.025,-0.150,
314,04/25/15 05:26:05 AM,0.975,-0.025,-0.175,
315,04/25/15 05:26:10 AM,0.975,0.075,-0.225,
316,04/25/15 05:26:15 AM,0.975,-0.175,0.025,
317,04/25/15 05:26:20 AM,0.975,0.125,-0.225,
318,04/25/15 05:26:25 AM,0.975,-0.200,0.000,
319,04/25/15 05:26:30 AM,0.975,0.125,-0.225,
320,04/25/15 05:26:35 AM,0.975,-0.075,-0.125,
321,04/25/15 05:26:40 AM,0.975,-0.075,-0.275,
322,04/25/15 05:26:45 AM,0.975,0.025,-0.175,
323,04/25/15 05:26:50 AM,0.975,-0.075,-0.225,
324,04/25/15 05:26:55 AM,0.975,0.075,-0.275,
325,04/25/15 05:27:00 AM,0.975,-0.025,-0.150,
326,04/25/15 05:27:05 AM,0.975,0.000,-0.150,
327,04/25/15 05:27:10 AM,0.975,0.075,-0.200,
