"Plot Title: G10091230_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","Max: X Accel, g (LGR S/N: 10091230)","Max: Y Accel, g (LGR S/N: 10091230)","Max: Z Accel, g (LGR S/N: 10091230)","End Of File (LGR S/N: 10091230)"
256,04/25/15 01:30:00 PM,0.975,0.150,-0.225,
257,04/25/15 01:32:00 PM,0.975,0.175,-0.225,
258,04/25/15 01:34:00 PM,0.975,0.175,-0.175,
259,04/25/15 01:36:00 PM,0.975,0.150,-0.150,
260,04/25/15 01:38:00 PM,0.975,0.125,-0.175,
261,04/25/15 01:40:00 PM,0.975,0.125,-0.225,
262,04/25/15 01:42:00 PM,0.975,0.125,-0.225,
263,04/25/15 01:44:00 PM,0.975,0.175,-0.200,
264,04/25/15 01:46:00 PM,0.975,0.175,-0.175,
265,04/25/15 01:48:00 PM,0.975,0.150,-0.200,
266,04/25/15 01:50:00 PM,0.975,0.150,-0.200,
267,04/25/15 01:52:00 PM,0.975,0.125,-0.200,
268,04/25/15 01:54:00 PM,0.975,0.125,-0.150,
269,04/25/15 01:56:00 PM,0.975,0.175,-0.175,
270,04/25/15 01:58:00 PM,0.975,0.175,-0.175,
271,04/25/15 02:00:00 PM,0.975,0.175,-0.150,
272,04/25/15 02:02:00 PM,0.975,0.125,-0.200,
273,04/25/15 02:04:00 PM,0.975,0.150,-0.200,
274,04/25/15 02:06:00 PM,0.975,0.125,-0.225,
275,04/25/15 02:08:00 PM,0.975,0.150,-0.175,
276,04/25/15 02:10:00 PM,0.975,0.125,-0.175,
277,04/25/15 02:12:00 PM,0.975,0.125,-0.175,
278,04/25/15 02:14:00 PM,0.975,0.125,-0.200,
279,04/25/15 02:16:00 PM,0.975,0.150,-0.225,
280,04/25/15 02:18:00 PM,0.975,0.150,-0.225,
281,04/25/15 02:20:00 PM,0.975,0.125,-0.150,
282,04/25/15 02:22:00 PM,0.975,0.125,-0.200,
283,04/25/15 02:24:00 PM,0.975,0.200,-0.200,
284,04/25/15 02:26:00 PM,0.975,0.125,-0.200,
285,04/25/15 02:28:00 PM,0.975,0.150,-0.200,
286,04/25/15 02:30:00 PM,0.975,0.125,-0.225,
287,04/25/15 02:32:00 PM,0.975,0.150,-0.200,
288,04/25/15 02:34:00 PM,0.975,0.150,-0.225,
289,04/25/15 02:36:00 PM,0.975,0.100,-0.225,
290,04/25/15 02:38:00 PM,0.975,0.125,-0.200,
291,04/25/15 02:40:00 PM,0.975,0.125,-0.175,
292,04/25/15 02:42:00 PM,0.975,0.125,-0.200,
293,04/25/15 02:44:00 PM,0.975,0.125,-0.200,
294,04/25/15 02:46:00 PM,0.975,0.125,-0.175,
295,04/25/15 02:48:00 PM,0.975,0.125,-0.175,
296,04/25/15 02:50:00 PM,0.975,0.125,-0.200,
297,04/25/15 02:52:00 PM,0.975,0.175,-0.175,
298,04/25/15 02:54:00 PM,0.975,0.125,-0.175,
299,04/25/15 02:56:00 PM,0.975,0.125,-0.200,
300,04/25/15 02:58:00 PM,0.975,0.150,-0.200,
301,04/25/15 03:00:00 PM,0.975,0.150,-0.200,
302,04/25/15 03:02:00 PM,0.975,0.175,-0.225,
303,04/25/15 03:04:00 PM,0.975,0.125,-0.225,
